Exact Counter:
{'e': 907, 'a': 1288, 's': 1288, 'f': 416, 'i': 468, 'r': 884, 'o': 882, 't': 453, 'c': 863, 'l': 869, 'u': 837, 'd': 428, 'n': 417}
Log2 Counter:
Trials:  10 ; Len:  10000
 Letter	 ExpVal	 ExpVar	ExpStdDev	Mean-AE	Mean-RE	 Max-RE	 Min-RE	 Mean-AcR	 SmallVal	 BigVal	MeanVal	    MAD	 StdDev	 MaxDev	    Var
      i	    468	    ???	      ???	  220.4	  47.1%	1650.2%	   9.2%	   100.0%	    31.0	 8191.0	  468.1	  220.4	7.723e+03	  330.7	1.094e+05	
      r	    884	    ???	      ???	  432.6	  48.9%	1753.3%	  15.7%	   100.0%	   127.0	16383.0	  884.1	  432.7	1.55e+04	  626.4	3.924e+05	
      o	    882	    ???	      ???	  432.0	  49.0%	1757.5%	  16.0%	   100.0%	    63.0	16383.0	  882.2	  432.0	1.55e+04	  622.2	3.871e+05	
      t	    453	    ???	      ???	  218.0	  48.1%	1708.2%	  12.8%	   100.0%	    31.0	 8191.0	  452.9	  218.0	7.738e+03	  319.1	1.019e+05	
      c	    863	    ???	      ???	  426.5	  49.4%	1798.4%	  18.5%	    99.9%	    63.0	16383.0	  862.0	  426.5	1.552e+04	  607.2	3.687e+05	
      l	    869	    ???	      ???	  429.1	  49.4%	1785.3%	  17.7%	   100.0%	    63.0	16383.0	  868.8	  429.1	1.551e+04	  615.4	3.787e+05	
      u	    837	    ???	      ???	  419.7	  50.1%	1857.3%	  22.2%	    99.9%	    63.0	16383.0	  835.8	  419.6	1.555e+04	  590.1	3.482e+05	
      d	    428	    ???	      ???	  212.5	  49.6%	1813.8%	  19.4%	   100.0%	    31.0	 8191.0	  427.8	  212.5	7.763e+03	  300.9	9.055e+04	
      n	    417	    ???	      ???	  209.4	  50.2%	1864.3%	  22.5%	    99.9%	    31.0	 8191.0	  416.8	  209.4	7.774e+03	  293.9	8.639e+04	

